Type,Breed1,Breed2,Color1,Color2,Color3,Fee,Quantity,VideoAmt,AgeBins,PhotoAmt,Age,BreedPure,Gender,MaturitySize,FurLength,Health,ColorAmt,Vaccinated,Dewormed,BreedName,Sterilized,StateBins,ColorName,Description,AdoptionSpeed
1,307,0,2,0,0,0,1,0,"[  6, 12)",1,9,N,2,2,1,1,1,1,1,Mixed Breed,1,41326,Brown,"Sandra is a very shy dog but smart and alert. Well behave, doesn't fight and friendly. She don't ask for big house, car or good food. A place for her to run around , a proper meal and a shelter away from the dangers and cruelty is all she need. Pls do not hesitate to call me if you have any queries at",4
2,265,0,6,0,0,0,1,0,"[  6, 12)",1,7,Y,2,2,2,1,1,2,2,Domestic Medium Hair,2,41327,Gray,"Been taking care of her start from her stray cat mom. Belle is a very adorable cat, obedient yet playful. Got to re-home her due to lack of space & other circumstances, Hope to find her a loving home.",2
2,266,0,1,0,0,0,1,0,"[ 60,255]",1,120,Y,2,1,1,1,1,3,3,Domestic Short Hair,1,41401,Black,"Musy was a rescue cat I took in 3 years ago.She is spayed and is very healthy. She is shy initially but once she gets to know you, she is very affectionate. I need to find a good home for her ASAP as my circumstances have changed. I am most happy to transport the cat to you if you are the lucky person to be her forever home.",4
1,307,103,1,7,0,0,1,0,"[  3,  6)",5,3,N,1,2,2,1,2,1,1,Mixed Breed,2,41326,Black,Dog 4 Adoption,3
2,265,0,1,2,7,0,3,0,2,1,2,Y,3,2,2,1,3,2,1,Domestic Medium Hair,2,41326,Black,"Three playful kittens ready to be adopted into homes as loving as they are. Two females and one male, already started on a solid diet and ready to fight anyone, especially people 10 times their size.",4
1,307,0,1,7,0,0,2,0,2,9,2,N,3,2,1,1,2,2,1,Mixed Breed,2,41326,Black,"These 2 adorable puppies were abandoned by the roadside when they were very little; even their eyes were not yet open. They were lovingly cared for by my friend's sister and she cannot continue to do so as she lives in an apartment. Can any kind soul give them a forever home...please. They are very, very attached to humans. Please call me . God bless.",3
2,266,251,1,7,0,1,1,0,"[  3,  6)",0,3,N,2,1,1,1,2,1,2,Domestic Short Hair,2,41327,Black,Open for adoption!!!,4
1,218,307,5,6,0,0,1,0,"[ 60,255]",5,60,N,1,2,2,1,2,3,3,Terrier,2,41326,Cream,"I found him wandering in my condo area (USJ). When I found him, his fur was all matted up and tangled. We brought him to the groomers and we couldn't salvage the fur on his body because it was tangled to the skin. Initially I thought he was a lost dog but judging from his heavily matted fur and how thin he looks - I think he has been a stray for quite a while. I spoke to a food vendor in my area and she said she saw him wandering in the neighbourhood quite a while now. He is fine with the collar and leash, quite friendly but fierce as well - he barks at strangers - so he'd make quite a good guard dog. Please contact me with a brief description of yourself and household. Thank you. UPDATE: Brought to the vet. Male, has some skin infection (yeast) and an ear infection - using medicated shampoo and he should be fine after a few baths. Apart from that he is fine. Need a home for this boy soon!",4
1,307,307,5,0,0,0,1,0,"[  0,  2)",4,1,N,2,2,2,1,1,2,2,Mixed Breed,2,41327,Cream,"Star: friendly, active, intelligent, first in the litter to open eyes, crawl, walk, yap, pee.. and quite ""out-spoken""... Adoption status: Star found her loving new home on 18 August .",2
2,265,0,6,0,0,0,1,0,"[ 12, 24)",2,12,Y,2,2,2,1,1,1,1,Domestic Medium Hair,1,41401,Gray,"**(IMPORTANT) Note For Adopters** ♠ Oreo was diagnosed with Feline Leukemia (FeLV) and cats like her live long normal lives except their immunity is lower than that of normal cats. ♠ Oreo needs a home where he can be a single household cat (or homes with existing FeLV cats are fine too). A safe indoor environment with lots of human attention will be her best preference. :) -------------------------------------------------- ♥ Oreo was dumped at my apartment area on the 29th of May, . ♥ Oreo is an EXTREMELY affectionate girl and LOVES people very much. She always follow you and ask you to play with her. Not fussy about his diet either. -------------------------------------------------- Please drop me a call (or email) if interested. Thank you.",4
2,266,0,1,7,0,0,1,0,"[ 60,255]",5,112,Y,1,1,1,1,2,2,2,Domestic Short Hair,2,41401,Black,This black kitten( not whole black coulour)Do really look like a batman(kitten)=wearing batman mask :)D Pls help. He deserve a loving home and if u interested to own him pls do not hesitate to contact me. Ms Cathy p/s this is a rescue kitten and always hide inside car :(,0
1,307,0,2,0,0,0,1,0,"[ 12, 24)",5,12,N,2,2,2,1,1,1,1,Mixed Breed,1,41326,Brown,"Goldie-like Confident among peers Just like a kid, shy to strangers at first, but will smile after warming up for awhile Vaccinated, dewormed, spayed DOB: December",1
1,307,307,1,7,0,0,5,0,"[  0,  2)",1,0,N,3,2,1,1,2,2,2,Mixed Breed,2,41326,Black,Found these 5 pups around the playground in my area at Taman Sri Andalas Klang. They are very cute & urgently need to be adopted . Pls call me at for location,2
1,307,307,1,2,0,0,1,0,2,1,2,N,2,2,2,1,2,2,2,Mixed Breed,2,41326,Black,"We just rescued this baby girl from Cyberjaya. Will take her to the vet for check-up, deworming and vaccination and also will sponsor for future spaying cost. Currently being fostered but cannot foster for too long. Please call if interested. Thanks",4
2,266,299,1,6,0,0,1,0,2,14,2,N,1,2,1,1,2,2,1,Domestic Short Hair,2,41401,Black,"Park was found in a parking lot in Cheras on 20th May by Rebecca Ma. He was so small and alone yet fearless, approaching Rebecca when she called out to him. She immediately brought him to the vet for a checkup and he was deemed healthy. I am now temporarily fostering the little cutie and i hope to find a good home for this very affectionate and loving kitten. For adoption to a safe and loving home. INDOOR only. Vaccinations and neutering are COMPULSORY. There are too many homeless, suffering kittens out there already. NO CAGE CONFINEMENT. Please note that animals are NOT TO BE KEPT IN CAGES PERMANENTLY. Park is depicted here in a cage as a temporary measure during the fostering process to protect him from several fully grown adult dogs and cats in my home. Anyway that should be obvious and adopters should be able to comprehend that. Current Diet - Royal Canin Babycat and/or Hill's Science Plan kitten kibble. Litter trained - Yes he uses the litterbox without fail. Dewormed - /09 Adoption procedure: - Set up a meeting with me and Park. - See if potential adopter and Park are suitable for each other. - Succesful adopter will then have to meet us at my vet in order to get Park vaccinated before being able to take Park home. Cost of vaccination and neutering to be borne by adopter. Interested parties can call, sms, or email me. Serious enquiries only please. A brief description of yourself and your experience with cats is greatly appreciated.",1
1,307,0,2,7,0,0,1,0,"[  0,  2)",7,1,N,2,2,2,1,2,2,2,Mixed Breed,2,41326,Brown,this pretty girl was found underneath a bus in Klang Jaya together with her brother () and sisters (). Lester Jenny will you adopt them? more available dogs for adoption: Hope - Jill - Joli - Moo -,2
2,266,0,1,4,7,0,1,0,2,15,2,Y,2,2,1,1,3,2,1,Domestic Short Hair,2,41401,Black,"I found Kira very weak and dehydrated near a car tyre at a parking lot. She was admitted and treated. Now she is a healthy, active kitten. She is litter tray trained. We are looking for someone to adopt her as we have too many cats. We prefer to give her up to a working Malaysian, no students. We are looking for someone who will vaccinate and neuter her and also take her for regular vet checks. She needs to be kept indoors, as she is very young. She is very good with our cats. Keeping a cat is a commitment for about 15 years and they are children that never grow up and it isn't cheap to keep a pet. Only for serious adopters.",2
2,265,0,7,0,0,0,1,0,"[  3,  6)",5,4,Y,1,2,2,1,1,1,1,Domestic Medium Hair,1,41326,White,"** No - we're not regular white haired cats with blue eyes (even if our uniqueness won't capture in our pics below)! We are full Albino twins and our genes account for only 2% of the cat population. We have special pink glints in our eyes and yes, like all other Albino animals out there we'll do wonderful in a fully indoor environment (not too much time under the direct sun). Please read on for more details about us! :) ** ------------------------------------------------------------- Introducing handsome little Demetrius! ♥ Male kitten, 4 1/2 months old. Brother to Florentino (Profile: ) ♥ A softie, Demetri has his moments of interest in play but mostly prefers a good cuddle and climbing over laps (he can fall asleep barely seconds after cuddling!). He has the loudest purr too. ♥ Demetri loves people and is easy with other cats (he will adjust fast as long as they're not aggressive towards him) - he will also be the first to explore any new environment or say hello to our vets / visitors. ♥ Demetri will do wonderful in a home where he'll receive lots of petting and affection. He's gentle when he plays and never uses his claws - hence mature children or even babies will make wonderful sidekicks! ♥ Demetri is on the road to recovery from a mild case of flu and is otherwise healthy. He has been dewormed, deflead and is very clever with the litter box. Prefers wet food over dry (although not a picky eater). ***PLEASE READ (Note for adopters)***: ○ Demetri must be kept % indoors for his own safety. Apartments need to be cat-safe. ○ Premium food feeding only (no Whiskas, Friskies etc). Please inquire to know more, this is for any cats long term welfare. Please drop me an email or call if you feel that you may be just the right person to give this boy a loving home. Thank you!",2
2,243,0,3,4,5,0,1,0,"[  3,  6)",2,5,Y,2,2,1,1,3,3,3,American Shorthair,2,41326,Golden,"Founded near my house, I guess it has been abandoned by her owner...Therefore I wish I could find a good pet owner who can adopt the cat.",4
1,307,103,1,2,0,0,1,0,"[ 60,255]",8,60,N,1,1,1,1,2,3,3,Mixed Breed,1,41326,Black,"Buster is still waiting for his forever home... could you be the one for Buster? /14 UPDATE: Buster has been neutered and is ready to go to his forever home. Please call us if you can give Buster the home that he deserves! ******************** We found Buster last Sunday (13/4/14) in Bukit Indah, Ampang. He was clearly lost, and was frightened and confused. After spending ages trying to calm him down, we managed to get him home. Unfortunately he did not get along with one of our foster dogs at all. So we had to board him at our vet while we tried to locate his family. We have had no luck so far as no one has come forward to claim him although his picture has been shared alot and we have also put up posters in the area where we found him and in the surrounding tamans. He has however, been miserable at the vet and has refused food since Sunday. He has also been howling and trashing himself against the cage, trying to get out. We managed to get another foster carer today (/14) and he is feeling much better at the foster carer's place. We have discovered that he's okay with female dogs and puppies :) but dislikes adult male dogs. Buster is a really sweet dog and loves to sit and cuddle in your lap. He loves car rides too and would sit in your lap and look out the window quite happily. Buster needs to be in a home environment with someone who will give him lots of cuddles and love. Do you think you can give Buster the home he deserves? Please call me at .",3
2,266,0,5,6,0,50,1,0,"[  3,  6)",1,4,Y,2,2,1,1,2,3,3,Domestic Short Hair,2,41326,Cream,"4/1/ An adorable domestic medium hair kitten looking for new home. She is Jennifer's Kitten 5, a 4 months old female kitten. She has silver-cream fur and her fur is thick and soft. She has a pair of big roung eyes and a cute tail. She is healthy, very active and playful. She is toilet (potty) trained and is ready to go at anytime. Her current owner, Jennifer would like to put her for adoption because she has too many cats at home. To better understand this cutie, just call Jennifer at . *RM 50 adoption fee would be paid to Cat Charity Club (CCC) for rescuing other stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery is done. Anyone interested, please call .",4
1,307,0,1,2,0,0,1,0,2,1,2,N,2,2,1,1,2,2,1,Mixed Breed,2,41330,Black,the breed i ticked was my random choose. actually it is born by stray dog. hope somebody has fate with her and like her.,4
2,266,0,5,0,0,0,1,0,"[  6, 12)",4,6,Y,1,2,1,1,1,1,1,Domestic Short Hair,2,41326,Cream,Cat for adoption,1
1,307,213,2,7,0,300,1,0,"[ 24, 60)",3,24,N,1,2,2,1,2,3,3,Mixed Breed,1,41326,Brown,Wiley is an extremely friendly and good-looking dog who loves to play. He walks well on a leash. Suitable for landed properties only as he does bark when excited and is a great watchdog. We have over one hundred gorgeous rescued dogs available for adoption at our rehabilitation centre in Bandar Makhota Cheras. We are looking for loving homes that can offer: *a clean environment with no cages or chains *regular exercise and affection *adequate nutrition and healthcare All adoptions require a house-check before being finalised. www.klpoochresortandrescue.org,4
1,307,0,1,7,0,0,1,0,"[  0,  2)",1,1,N,1,2,2,1,2,3,3,Mixed Breed,2,41326,Black,Lovely puppy looking for a forever home. If u are interested to adopt pls contact Rachel,3
1,141,307,5,0,0,0,1,0,"[  3,  6)",1,5,N,1,2,1,1,1,1,1,Labrador Retriever,2,41326,Cream,"Tootie is a tad shy with strangers but gets playful once he is familiar with his surroundings. His sisters are Blondie, Goldie and Whisky. They are cross breed and will be medium sized in adulthood. Vaccination and neutering are compulsory. No tying up or caging unless necessary for short periods. Please call if interested.",1
2,265,0,1,7,0,0,1,0,"[ 12, 24)",3,12,Y,1,2,2,1,2,1,1,Domestic Medium Hair,1,41332,Black,very playful.. like to play hide and seek with the owner.. know his litter box..,1
1,207,0,1,6,7,0,1,0,"[ 24, 60)",1,36,Y,2,1,3,1,3,1,1,Silky Terrier,1,41326,Black,Her owner has 5 dogs. Recently 1 of her dog gave birth to few puppies. She can't cope anymore. Therefore decided to give her away. Serious adopter pls call Amy ,2
1,205,0,2,7,0,0,1,0,"[ 60,255]",1,60,Y,1,2,2,2,2,1,1,Shih Tzu,2,41326,Brown,"Found Shih Tzu near Bulatan Sri Aman on 24 Nov . Brought him to nearby vet. Doctor says he was most likely hit by a car and broke 3 legs. He was severely dehydrated and too weak to eat or drink. We named him ""Rambo"" because he is a very tough dog to survive his ordeal. Today Rambo is 95% recovered and walks with slight limp. His medical bill has been fully paid. We hope Rambo's owner will contact us.",1
1,307,307,1,2,0,0,1,0,2,1,2,N,2,2,2,1,2,2,2,Mixed Breed,2,41336,Black,This lovely puppy was part of a litter. Her adorable siblings have since been adopted. Hyper and always wagging its tail even when it's being carried up. Do not call me but drop me a text if you are interested.,1
1,307,128,7,0,0,0,1,0,"[ 12, 24)",2,12,N,2,1,1,1,1,3,2,Mixed Breed,3,41330,White,"she is a friendly dog but if you scare her the 1st time she saw you, she will not like you anymore.. =D she is timid when she was indoor...maybe because her late owner never let her in the house. she loved to get attention from ppl. she have given birth before.",1
1,218,307,1,7,0,0,1,0,2,1,2,N,1,2,1,1,2,2,2,Terrier,2,41326,Black,"Tooter was found by a friend of mine in Rawang. He is an adorable puppy, very active and alert. Will sit by your side. From the size of his paw, he may grow to be medium to large size at maturity. Vaccination and neutering are compulsory. No tying up or caging unless necessary for short periods. Please call if interested.",1
2,299,265,1,7,0,50,1,0,2,4,2,N,2,2,2,1,2,1,1,Tabby,2,41326,Black,Cute and adorable medium long hair Tabby kitten.He is very playful and adventurous. Very healthy and cheerful baby kitty. >> Please call Azimah at to meet pebble.,1
1,307,307,1,2,7,100,1,0,"[  0,  2)",4,1,N,2,2,1,1,3,2,2,Mixed Breed,2,41326,Black,Mia is one of the remaining 3 bubbly & energetic puppies is still looking for home. They are currently seeking shelter near construction site with lotsa lorries & heavy machineries moving in & out. Their life is at stake. Pls adopt & save lifes today! Location KL Puppies are 1 month plus old,3
1,307,0,1,0,0,0,6,0,"[  0,  2)",5,1,N,3,2,1,1,1,2,2,Mixed Breed,2,41326,Black,"The Batkids (so named for some of them have pointy ears like Batman!) are a litter of 5 black stray pups (4 females and 2 males) found at USJ1 shoplot area. They are all healthy and active. Adopters will receive a voucher for 3kg free Eukanuba puppy food. There is no adoption fee, however, interested adopters must agree to spay them when old enough. We can arrange for our regular vet at Taipan USJ, to provide spaying at cheap rate of only RM. This is much cheaper than most vets where price is usually at least RM or more. Amount shall be paid to vet upon adoption and just show the receipt when pup is old enough for spaying. Anyone interested to view the puppies, please contact my mother, Jocelyn at as she is fostering the pups. Located at Subang Jaya, Selangor. Update 13 March : All adopted except for one female! Be quick to pick up the last little blackie! :D",3
1,307,128,1,7,0,0,1,0,"[ 12, 24)",1,15,N,2,2,1,1,2,1,1,Mixed Breed,1,41326,Black,"She is a lovely pet-type stray dog. A very friendly personality, love humans and get along well with other dogs.",4
1,307,0,1,2,7,0,1,0,2,1,2,N,1,2,1,1,3,3,3,Mixed Breed,2,41326,Black,Lovely puppy looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt. Pls contact Joyceline,1
2,266,266,1,6,7,0,5,0,"[  3,  6)",4,3,Y,3,1,1,1,3,2,2,Domestic Short Hair,2,41326,Black,Call or SMS if u interested. Tq,2
1,307,307,2,7,0,0,1,0,2,13,2,N,1,2,2,1,2,2,2,Mixed Breed,2,41401,Brown,"hello, can u give me a loving and warm forever home :) Please Contact (MISS OOI).",2
1,307,0,2,7,0,0,1,0,"[  6, 12)",1,9,N,1,2,1,1,2,1,1,Mixed Breed,2,41326,Brown,"He was rescued when he was 3 weeks old and was adopted by me. He's lived in a house and is used to being walked and played with outside or inside the house. He's lively, excited and playful. He is obedient to the commands he knows: ""sit, lie down, stay, high-five, shake hand, fetch, stop"". His favorite games are fetch and tug-of-war. He doesn't free roam around the house, but can stay outside or inside with a leash or inside a room with his owner. He can be trained with consistency and patience. He's learned not to bite furniture. He needs to be taken outside the house to go potty.",3
1,307,307,1,2,6,0,6,0,"[  0,  2)",1,1,N,3,3,1,1,3,3,3,Mixed Breed,3,41326,Black,"These mongrel pups are available for adoption already. Please gimme a call, sms me, or email me when you want to adopt them. The Location: Sunway Damansara (Near 1 Utama). Brown: Female/Male White & Brown: Female",2
2,285,292,2,7,0,200,1,0,"[  3,  6)",1,3,N,1,1,2,1,2,2,2,Persian,2,41401,Brown,"Thank you so much for your email & interest to adopt him but he's already been adopted, sorry. Thanks again :)) _________________________________________________ Mixed breed of Persian and Siamese. Active and litter trained.",1
2,266,0,4,6,7,0,3,0,"[  6, 12)",3,6,Y,3,2,2,1,3,3,3,Domestic Short Hair,1,41336,Yellow,"Posted on behalf of rescuer - Please contact (Joen) if you're able to give those adorable a home..thank you for choosing adoption instead of buying! 帮助救援者转达的领养帖，如您有能力给可爱的猫猫们一个家，请直接联系 (Joen)，非常感激您领养取代购买! 流浪到我家的猫。 因为我家的老人家不喜欢猫，所以在寻找着温暖的家。 免费领养。 1号和2号-公猫，已结扎。 3号-母猫，已结扎。 3只都亲人。 地点:新山大学城 - - - - - - - - - - - - - - Adult cat for free adoption. 1 & 2 -male, neutered cat. 3 - female, spayed cat. Location : Taman Universiti, Johor.",4
2,265,0,2,7,0,0,2,0,"[  6, 12)",5,6,Y,3,1,2,1,2,1,1,Domestic Medium Hair,1,41401,Brown,"These 2 kittens were found hidden in some bushes for one day, they never left the place and were always together even though it started raining. they were rescued and although we suspect these 2 are siblings . The male will always stay close n protect the female (white) and will allow her to eat before he does. I hope they can be adopted together as their bond is very very strong and it will be miserable to see them separated. Both are very unique in their coats. They are very friendly and get along well. Lovely cats to have",2
1,307,307,1,5,0,30,2,0,"[ 24, 60)",5,24,N,3,2,2,2,2,3,3,Mixed Breed,3,41326,Black,"For adoption / foster 🐕 REASONS WHY THESE GUYS ARE THE BEST DOG EVER! 🐶 If you need love, they've got plenty to give 🐶 They are handsome inside and out 🐶 They are obedient and friendly 🐶 They are a personal happiness machine 🐶 They will never judge you in your horrible taste of movies 🐶 And many more other reasons 💎💎💎 🐶 Location: Kuala Lumpur 🐶 Age: Unknown 🐶 Gender: (White) Male, (Black) Unknown 🐶 Found: 3rd May 🐶 Notes: The black dog seems healthy. I rescued the white dog from a drain. Slightly injured with an old scab behind the right leg's knee and is limping 💎💎💎 Other facts: 🐶 Unsure if lost or abandoned ❓❓❓❗️ 🐶 Both are friends with each other 🐶 Strongly suggest to be fostered / adopted at the same time 🐶 Preferably fostered / adopted and brought home together and not separately 🐶 They stay in an empty lot in my neighborhood 🐶 My family & I currently feed them every morning / evening and check on them every day 💎💎💎 SERIOUS FOSTERERS / ADOPTERS ONLY. Please contact me at for more info. :)",2
2,241,241,1,2,0,0,4,0,"[  0,  2)",3,1,Y,3,1,1,1,2,2,2,Abyssinian,2,41330,Black,"Location: Buntong, Ipoh Salam. Ada sesiapa yang sudi untuk adopt salah satu atau keempat empat adik beradik ni? Kawan tak mampu pelihara pasal udah bela 7 kucing kat rumah. Kawan pny mak akan hantar kucing kesian ni ke pasar kalau takda org nak kucing ni. .skrang tinggal warna brown yg jantan aje... .Pick up sendiri/ boleh hantar ke area dekat Kalau minat sila pm Facebook atau wechat secepat-cepatnya. Thank you! p/s:Im not sure the breed so simply choose.",4
2,266,264,1,6,7,0,2,0,"[  0,  2)",5,1,N,2,2,3,1,3,2,2,Domestic Short Hair,2,41326,Black,"Hello, I have two kittens available for adoption. Their mother is a stray cat and she happened to gave birth at my parents house. Their age is one month and im afraid that they are not well taken care as there are so many male stray cat around the housing area. Please, if anyone kind to adopt, whatsapp me at",1
1,109,0,3,0,0,0,1,0,"[ 24, 60)",5,48,Y,1,3,2,2,1,2,2,Golden Retriever,2,41336,Golden,**unknown age of dog....** boyboy is currently at hospital adopter needed urgently since i cant afford the hospital fee boy is able to proceed his recovery at home but need to take in medicine on time for his skin problem. anyone interested can contact me . boy's condition can refer here : thanks,1
1,307,0,1,7,0,250,1,0,"[ 12, 24)",3,12,N,1,2,1,1,2,1,1,Mixed Breed,2,41326,Black,Ringmo is very active and will make a good guard dog when he's all grown up. He still estimated to be less than a year old now.,4
1,20,0,1,4,7,0,1,0,"[ 60,255]",3,123,Y,2,2,1,1,3,1,1,Beagle,1,41326,Black,This pet has been abandon at a veterinary clinic. Tame and like to sleep a lot.,4
1,307,0,5,7,0,0,1,0,2,3,2,N,2,2,2,1,2,2,1,Mixed Breed,2,41327,Cream,"2 months old female...Adopters must vaccinate,spay and keep puppy indoors/fenced. Interested call me at:/ Address: One Petz 2-1-20 one square, Tingkat mahsuri 1, Bayan lepas, Penang.",1
2,266,265,1,6,0,0,2,0,2,2,2,N,3,1,2,1,2,2,2,Domestic Short Hair,2,41326,Black,"very young kitten, active and healthy. still got nutrition from milk. age about 1 month to 2 month old. whatsapp",4
1,76,218,1,7,0,0,1,0,"[  0,  2)",27,1,N,2,2,1,1,2,1,1,Dalmatian,1,41326,Black,"Latte is an extremely smart and happy puppy. Excellent watchdog. She currently weighs about 20 kgs. Active, very alert and clever. Loves to be with people, follow you around and easy to train. Good as a single dog. Toilet trained on grass. Great as family dog cum watchdog. Vaccination and neutering are compulsory, cost to be borne by adopter. Please call if you can give her a good home.",4
2,285,0,1,7,0,0,1,0,"[ 24, 60)",1,24,Y,2,1,3,1,2,3,2,Persian,3,41401,Black,"This cute cat came to our house yesterday, we believe that it has owner before since it doesn't look like a regular stray cat. Currently we are looking after her, however we can't let her go into our house (due to health problem) and she had to stay outside overnight. She is looking for a responsible owner. You will have to bring her for full checking and necessary actions such as vaccination, deworm & spay. Please bear in mind that, she doesn't has any identifying items, there might have chances that her ex-owner will appear after you adopted it. P/S: If you are her previous owner, please identify yourself, and give proper explanation about this matter.",4
2,265,0,1,5,7,0,1,0,"[  0,  2)",5,1,Y,2,1,2,1,3,2,2,Domestic Medium Hair,2,41326,Black,BOD 7/. Baby of Michi's and Boboi's. Still with its mother. Only serious adopter to be considered.,3
1,307,307,2,7,0,0,1,0,"[  0,  2)",3,1,N,2,2,2,1,2,2,1,Mixed Breed,2,41326,Brown,For Adoption,1
1,205,0,2,7,0,0,1,0,"[ 60,255]",1,60,Y,1,2,2,2,2,1,1,Shih Tzu,2,41326,Brown,"Found Shih Tzu near Bulatan Sri Aman on 24 Nov . Brought him to nearby vet. Doctor says he was most likely hit by a car and broke 3 legs. He was severely dehydrated and too weak to eat or drink. We named him ""Rambo"" because he is a very tough dog to survive his ordeal. Today Rambo is 95% recovered and walks with slight limp. His medical bill has been fully paid. We hope Rambo's owner will contact us.",1
1,307,0,2,0,0,0,1,0,2,1,2,N,2,2,2,1,1,1,1,Mixed Breed,2,41330,Brown,Rescued from a flat. Well fed and care from her mommy but the mommy wasn't there anymore. Playful and lively! Surely carve a smile on anyone's face... Please give her a good home... a 2nd life... with endless love and care...,2
1,307,0,1,2,0,0,1,0,"[  0,  2)",1,1,N,1,2,2,1,2,2,2,Mixed Breed,2,41327,Black,"Name of Pet: B2 Age: 1 month (DOB : /) Breed: Mixed/Mongrel Gender: Male Location: Butterworth, Penang Contact: Tan () Email: mddb.",2
1,307,0,7,0,0,0,1,0,"[ 60,255]",1,212,N,2,2,1,1,1,3,3,Mixed Breed,2,41401,White,"Heyyyy Meet Snow ! She's 2 n half months old , she's a mix a breed, such a playful baby, active like no one's business , she loves jumping n playing with everything she can get hold off but she's an angel ! I would love to keep her..but due to some circumstances i have to give her away ! All she need someone to love her more n a new home..! She is up for adoption !",4
1,307,0,1,2,0,0,1,0,2,2,2,N,1,2,1,1,2,2,1,Mixed Breed,2,41326,Black,"This sweet boy somehow found his way into our house compound. We are unable to keep him as we already have a dog and are hoping to find someone who would like to adopt him. He is warming up to us well, gets along nicely with our dog, is quickly learning to be toilet trained and is starting to show some good guard dog characteristics. The location is in Bandar Bukit Raja, Klang.",3
2,266,0,1,2,0,0,1,0,"[  3,  6)",4,3,Y,2,2,1,1,2,2,1,Domestic Short Hair,2,41326,Black,"Stripe is a 3 months old kitten. She is a black and brown tabby. A bit of a scaredy cat but likes to play. Toilet trained. Stripe is one of my family cat's offspring, but I am looking for adopters for Stripe because currently we can only keep one cat at home. I would prefer experienced kitten owners to adopt Stripe but first timers who are really serious about taking care of cats are always welcome. Stripe's diet consists of Blackwood for kitten.",4
2,266,0,1,2,7,0,4,0,"[  0,  2)",4,1,Y,3,1,1,1,3,2,2,Domestic Short Hair,2,41401,Black,"4 kittens for adoption able to eat cat foods now:) does not need to be feeded by mum...able to run toooo... brown colour is female, the other 3 are males we couldnt take care them anymore( i rear it with one of my housemate) because we will leave the place in Jan since we will complete our A level course.. location: taman connaught, cheras, beside UCSI",2
1,213,103,1,0,0,0,1,0,"[ 60,255]",2,72,N,2,2,2,1,1,3,3,Spitz,1,41326,Black,Beautiful and obedient girl looking for a forever home. Her owner is migrating and can't bring her along. She is alrdy spayed and ready for a new home. If u are interested to gv her a chance for a forever home. Pls contact Rachel,4
